titulo,localizacion,precio,ascensor,baños,trastero,piso,habitaciones,metros_reales,armarios_empotrados,terraza,garaje,calefaccion,aire_acondicionado,piscina,zonas_verdes
Alquiler de Piso en calle Jardines,"Recogidas, Granada",510,0.0,1,0,Primeros_pisos,1,35,0,0,0,1,0,0,0
Alquiler de Piso en Catedral,"Centro, Granada",1050,0.0,1,0,Ultimos_pisos,2,45,0,0,0,0,1,0,0
"Alquiler de Piso en plaza Aurora, 10","San Miguel, Armilla",550,1.0,1,0,Primeros_pisos,1,55,1,0,1,1,0,0,0
Alquiler de Ático en calle Zapateros,"Catedral, Granada",680,1.0,1,0,Primeros_pisos,1,60,0,0,0,0,0,0,0
Alquiler de Casa o chalet independiente en San Ildefonso,Granada,2200,0.0,2,1,Muchas_plantas,4,2,0,1,1,1,1,1,0
Alquiler de Piso en calle Nicuesa,"Carrera de la Virgen - Paseo del Salón, Granada",850,1.0,1,0,Primeros_pisos,3,85,0,0,0,0,0,0,0
Alquiler de Piso en calle Ganivet,"Zona Poniente, Armilla",600,1.0,1,0,Primeros_pisos,1,67,0,0,0,1,1,0,0
Alquiler de Piso en calle Henríquez de Jorquera,"Polígono Cartuja, Granada",980,1.0,1,0,Ultimos_pisos,3,90,0,1,0,0,0,0,0
"Alquiler de Piso en calle José Recuerda, 3","Ronda - Arabial, Granada",1100,1.0,2,0,Ultimos_pisos,4,85,1,0,0,1,1,0,0
Alquiler de Piso en calle Mariana Pineda,"San Matías - Pavaneras, Granada",1600,0.0,2,0,Primeros_pisos,4,1,0,0,0,1,0,0,0
"Alquiler de Piso en calle Ramón y Cajal, 14","Casco Historico, Churriana de la Vega",750,1.0,3,0,Primeros_pisos,3,1,0,0,1,0,1,0,0
"Alquiler de Piso en plaza del Realejo, 2","Molinos - Santiago, Granada",750,1.0,1,0,Bajo,2,80,1,0,0,1,1,0,0
Alquiler de Piso en plaza de Santo Domingo,"San Matías - Pavaneras, Granada",650,1.0,1,0,Primeros_pisos,1,60,1,0,0,1,0,0,0
Alquiler de Piso en calle Fray Leopoldo de Alpandeire,"Los Pajaritos, Granada",960,1.0,2,0,Primeros_pisos,4,1,1,0,0,0,1,0,0
"Alquiler de Piso en calle Almireceros, 7 --9","Gran Vía, Granada",800,1.0,1,0,Primeros_pisos,1,66,1,0,1,1,0,0,0
Alquiler de Estudio en Molinos - Santiago,"Realejo, Granada",420,0.0,1,0,Bajo,1,45,0,0,0,0,0,0,1
Alquiler de Piso en calle Portería de Santo Domingo,"San Matías - Pavaneras, Granada",650,1.0,1,0,Primeros_pisos,1,60,1,0,0,1,0,0,0
Alquiler de Piso en puente de Castañeda,"Figares, Granada",1200,1.0,1,0,Bajo,2,75,1,0,0,1,1,0,0
Alquiler de Piso en Zaidín,Granada,750,1.0,1,0,Bajo,3,90,0,0,0,1,1,0,0
Alquiler de Piso en calle Pdta Aquilino Morcillo Ha,"Barrio de los Periodistas, Granada",1100,1.0,2,0,Ultimos_pisos,3,1,1,1,1,1,1,1,1
Alquiler de Piso en avenida de la Constitución,"Los Pajaritos, Granada",1300,1.0,2,0,Ultimos_pisos,4,1,0,1,0,1,0,0,0
"Alquiler de Piso en Ramón y Cajal, 36",Maracena,650,1.0,1,0,Primeros_pisos,2,70,1,0,1,1,1,0,0
Alquiler de Piso en avenida Doctor Oloriz,"Plaza de Toros, Granada",1300,1.0,2,1,Ultimos_pisos,4,1,1,0,0,1,1,0,0
Alquiler de Piso en calle Lagartijillo,"La Cruz, Granada",950,0.0,1,0,Bajo,3,80,0,1,0,1,1,0,0
Alquiler de Piso en Del Angel,"Cervantes-Palacio de Deportes, Granada",1350,1.0,2,0,Primeros_pisos,4,1,0,1,1,1,1,1,1
Alquiler de Piso en camino de Ronda,"Figares, Granada",890,1.0,2,0,Primeros_pisos,3,1,1,0,0,1,1,0,0
Alquiler de Piso en calle Solarillo de Gracia,"Recogidas, Granada",1200,1.0,2,0,Ultimos_pisos,3,1,0,0,0,1,0,0,0
Alquiler de Piso en calle Horno del Oro,"Albaicín, Granada",650,0.0,1,0,Primeros_pisos,2,55,0,1,0,1,0,0,0
Alquiler de Piso en avenida García Lorca,"Campus de la Salud, Armilla",1200,1.0,2,0,Bajo,3,90,0,1,1,1,0,1,0
"Alquiler de Piso en calle Ruiseñor, 7","Los Pajaritos, Granada",775,1.0,1,0,Ultimos_pisos,2,70,1,0,0,1,1,0,0
Alquiler de Piso en plaza de Gracia,"Recogidas, Granada",1000,1.0,1,0,Ultimos_pisos,3,1,1,1,0,1,1,0,0
"Alquiler de Piso en calle Periodista Fernando Gómez de la Cruz, 51","Barrio de los Periodistas, Granada",1100,1.0,1,0,Primeros_pisos,2,85,1,0,1,0,1,1,1
Alquiler de Piso en avenida Federico García Lorca,"Barrio de los Periodistas, Granada",870,1.0,2,1,Ultimos_pisos,2,72,1,0,1,0,1,1,0
Alquiler de Piso en Figares,Granada,950,0.0,1,1,Primeros_pisos,3,1,1,0,0,0,0,0,0
Alquiler de Piso en calle Castañeda,"Carrera de la Virgen - Paseo del Salón, Granada",650,0.0,1,0,Primeros_pisos,1,60,0,0,0,0,0,0,0
"Alquiler de Piso en calle Aracena, 27",Cullar-Vega,650,0.0,1,0,Primeros_pisos,2,85,0,1,0,1,0,0,0
Alquiler de Piso en camino Gójar,"Altos de la Zubia, La Zubia",750,1.0,2,0,Primeros_pisos,3,90,1,1,1,0,0,0,0
"Alquiler de Piso en calle Gran Vía de Colón, 46","Gran Vía, Granada",950,1.0,1,0,Ultimos_pisos,1,82,1,0,0,1,1,0,0
"Alquiler de Piso en calle Periodista José Fernández Martínez, 3","Barrio de los Periodistas, Granada",1000,1.0,2,0,Ultimos_pisos,3,1,1,1,1,1,1,1,0
"Alquiler de Piso en paseo de Colón, 5",Albolote,730,1.0,2,0,Ultimos_pisos,3,90,1,0,0,0,1,0,0
"Alquiler de Piso en pasaje profesor sainz cantero, 3","Gran Capitán, Granada",700,1.0,1,1,Bajo,2,87,1,0,1,1,1,0,1
"Alquiler de Casa o chalet independiente en calle Pernaleros Bajo, 17","San Ildefonso, Granada",700,0.0,1,0,Muchas_plantas,2,70,0,1,0,0,0,0,0
"Alquiler de Casa o chalet independiente en calle Amapola, 9",Atarfe,650,0.0,2,0,Muchas_plantas,2,79,0,1,0,0,1,0,0
"Alquiler de Piso en calle la Palmita, 8","Barrio de los Periodistas, Granada",950,1.0,2,1,Primeros_pisos,3,1,0,0,1,1,1,1,1
Alquiler de Piso en calle Sederos,"Figares, Granada",1300,1.0,2,0,Primeros_pisos,4,1,0,0,0,1,1,0,0
Alquiler de Piso en calle Gonzalo Gallas s/n,"Ronda - Arabial, Granada",1200,1.0,2,0,Primeros_pisos,4,1,1,0,0,0,0,0,0
Alquiler de Piso en calle san anton,"Figares, Granada",1100,1.0,2,0,Primeros_pisos,3,90,0,0,0,0,1,0,0
Alquiler de Piso en calle Doctor Barraquer,"Plaza de Toros, Granada",1000,1.0,2,0,Primeros_pisos,3,80,1,1,0,0,1,0,0
"Alquiler de Piso en calle Bacaque, 2","Carretera de Granada-La Alcazaba, Alhendin",750,1.0,2,1,Primeros_pisos,3,1,1,0,1,1,1,1,1
"Alquiler de Piso en Santa Cecilia, 18","Zona de San Cayetano, Churriana de la Vega",595,1.0,1,0,Bajo,2,85,1,1,0,1,0,0,0
Alquiler de Piso en calle Frascuelo s/n,"Zona Parque de San Roque, Churriana de la Vega",625,1.0,2,0,Primeros_pisos,2,70,1,1,0,1,0,1,1
"Alquiler de Piso en avenida Profesor Domínguez Ortiz, 4 n","Barrio de los Periodistas, Granada",800,1.0,2,0,Primeros_pisos,3,90,1,0,1,1,1,0,0
"Alquiler de Piso en calle Santa Clotilde, 49 b","Ronda - Arabial, Granada",800,1.0,1,0,Primeros_pisos,3,80,1,0,0,1,0,0,0
Alquiler de Chalet adosado en Barrio de los Periodistas,Granada,700,0.0,2,0,Muchas_plantas,4,1,0,0,0,1,0,0,0
Alquiler de Ático en avenida Doctor Oloriz,"Plaza de Toros, Granada",1200,1.0,2,0,Ultimos_pisos,4,89,0,1,1,1,0,1,0
Alquiler de Piso en Catedral,"Centro, Granada",1000,1.0,2,0,Bajo,4,1,0,1,0,1,1,0,0
Alquiler de Piso en calle Real de Cartuja,"San Ildefonso, Granada",990,0.0,1,0,Primeros_pisos,3,80,0,1,0,1,1,0,0
Alquiler de Piso en calle Ángel Barrios,"Ronda - Arabial, Granada",870,1.0,1,0,Primeros_pisos,3,90,0,0,0,0,0,0,0
Alquiler de Piso en pasaje Algaba,"Casería de Montijo, Granada",1480,0.0,2,0,Primeros_pisos,5,1,1,1,0,1,1,0,0
Alquiler de Piso en ronda de Alfareros,"Casería de Montijo, Granada",1200,0.0,2,0,Primeros_pisos,4,1,0,1,0,1,0,0,0
Alquiler de Piso en camino de ronda,"Ronda - Arabial, Granada",850,1.0,1,0,Ultimos_pisos,3,95,0,0,0,0,0,0,0
"Alquiler de Piso en avenida de Madrid, 18","San Ildefonso, Granada",1040,1.0,1,0,Primeros_pisos,4,95,0,1,0,1,0,0,0
Alquiler de Piso en calle Doctor Sánchez Mariscal,"Plaza de Toros, Granada",1200,1.0,2,0,Primeros_pisos,4,1,0,1,0,1,0,0,0
Alquiler de Piso en Gran Capitán,"Centro, Granada",850,1.0,1,0,Bajo,2,70,1,0,0,1,1,0,0
Alquiler de Piso en Ronda - Arabial,"Ronda - Arabial, Granada",1300,1.0,2,0,Ultimos_pisos,4,1,0,0,0,1,0,0,0
Alquiler de Piso en calle Pedro Antonio de Alarcón,"Gran Capitán, Granada",1100,1.0,1,0,Primeros_pisos,3,1,0,1,0,1,0,0,0
Alquiler de Ático en Doctor Fidel Fernandez,"Plaza de Toros, Granada",930,1.0,1,0,Ultimos_pisos,3,90,0,0,0,1,1,0,0
Alquiler de Piso en avenida de Pulianas,"San Francisco Javier, Granada",900,1.0,1,0,Primeros_pisos,3,90,1,0,0,0,0,0,0
Alquiler de Piso en calle Torre de la Cautiva,"Cervantes-Palacio de Deportes, Granada",1400,1.0,2,0,Bajo,3,1,1,1,1,1,0,1,1
"Alquiler de Piso en calle Rosa Chacel, 4","Parque Nueva Granada, Granada",840,1.0,2,1,Bajo,3,96,1,1,1,0,0,1,1
"Alquiler de Piso en calle Rosa Chacel, 4","Parque Nueva Granada, Granada",692,1.0,2,1,Bajo,2,76,1,1,1,0,0,1,1
Alquiler de Piso en tiña,"Albaicín, Granada",750,0.0,1,0,Bajo,1,50,0,1,0,0,1,0,0
"Alquiler de Piso en calle Rosa Chacel, 4","Parque Nueva Granada, Granada",516,1.0,1,1,Bajo,1,54,1,1,1,0,0,1,1
Alquiler de Piso en calle Cisne,"Los Pajaritos, Granada",800,1.0,1,0,Primeros_pisos,2,80,0,0,0,0,0,0,0
Alquiler de Piso en Albaicín,Granada,700,1.0,1,0,Primeros_pisos,1,59,0,0,0,1,0,0,0
Alquiler de Piso en Arabial s/n,"Ronda - Arabial, Granada",870,1.0,1,0,Primeros_pisos,3,85,0,0,0,0,0,0,0
Alquiler de Piso en Carrera de la Virgen - Paseo del Salón,"Realejo, Granada",2400,1.0,2,0,Ultimos_pisos,6,1,0,0,0,1,0,0,0
Alquiler de Piso en calle Ángel Barrios,"Ronda - Arabial, Granada",870,1.0,1,0,Primeros_pisos,3,70,0,0,0,1,1,0,0
"Alquiler de Piso en camino de Ronda, 81","Ronda - Arabial, Granada",1400,1.0,2,0,Primeros_pisos,4,1,1,0,0,1,1,0,0
Alquiler de Piso en camino de Ronda,"Ronda - Arabial, Granada",1300,1.0,2,0,Ultimos_pisos,4,1,0,0,0,1,0,0,0
Alquiler de Piso en avenida de Dílar,"Zaidín, Granada",690,1.0,1,0,Primeros_pisos,3,85,0,1,0,1,0,0,0
Alquiler de Estudio en cuesta de Rodrigo del Campo,"Molinos - Santiago, Granada",450,0.0,1,0,Primeros_pisos,1,25,0,1,0,1,0,0,0
Alquiler de Piso en camino de Ronda,"Ronda - Arabial, Granada",850,1.0,1,0,Ultimos_pisos,3,90,0,1,0,0,1,0,0
Alquiler de Estudio en calle Honda del Realejo,"Molinos - Santiago, Granada",600,1.0,1,0,Ultimos_pisos,1,30,0,0,0,1,1,0,0
"Alquiler de Piso en avenida de la Ilustración, 57","Campus de la Salud, Granada",1250,1.0,2,0,Primeros_pisos,4,1,1,1,1,0,1,1,1
Alquiler de Piso en Plaza de Toros,"Los Pajaritos - Plaza de Toros, Granada",650,1.0,1,0,Primeros_pisos,1,58,1,0,0,1,1,0,0
Alquiler de Piso en Plaza de Toros,"Los Pajaritos - Plaza de Toros, Granada",1200,1.0,2,0,Bajo,2,1,1,1,1,1,1,1,0
Alquiler de Piso en Placeta de las Escuelas,"Albaicín, Granada",650,1.0,1,0,Bajo,1,42,0,0,0,1,0,0,0
Alquiler de Chalet adosado en paseo de la Ermita,"Zona Parque de la Ermita, Churriana de la Vega",800,0.0,2,0,Muchas_plantas,4,1,0,1,1,0,1,0,0
Alquiler de Casa o chalet independiente en Cajar,"Área de Granada, Granada",1200,0.0,4,1,Muchas_plantas,4,1,1,1,1,1,0,1,0
Alquiler de Piso en calle Santa Teresa,"Recogidas, Granada",1400,0.0,2,0,Primeros_pisos,5,1,0,0,0,1,0,0,0
"Alquiler de Piso en calle Santa Clotilde, 47","Ronda - Arabial, Granada",1320,1.0,2,0,Ultimos_pisos,4,1,1,0,0,1,0,0,0
Alquiler de Chalet pareado en calle Chipre,Belicena,900,0.0,3,1,Muchas_plantas,4,2,1,1,1,0,0,0,0
Alquiler de Piso en calle Hortensia,Santa Fe,780,1.0,2,0,Primeros_pisos,3,1,0,1,0,1,1,0,0
"Alquiler de Piso en calle Cristo de la Yedra, 19","San Ildefonso, Granada",850,1.0,2,0,Primeros_pisos,3,90,0,1,0,0,0,0,0
Alquiler de Piso en San Blas,"San Francisco Javier, Granada",1350,0.0,2,0,Bajo,4,1,1,1,0,1,1,0,0
"Alquiler de Piso en calle Arandas, 8","Catedral, Granada",1400,1.0,2,0,Ultimos_pisos,4,1,1,1,0,1,1,0,0
"Alquiler de Piso en calle San Jerónimo, 12","Catedral, Granada",550,0.0,1,0,Bajo,1,38,0,0,0,1,0,0,0
"Alquiler de Piso en calle San Antón, 41","Figares, Granada",700,1.0,1,0,Primeros_pisos,1,50,1,0,0,1,1,0,0
Alquiler de Piso en plaza Gertrudis Gómez de Avellaneda,"Cervantes-Palacio de Deportes, Granada",1300,0.0,3,1,Primeros_pisos,3,2,1,1,1,1,1,0,0
Alquiler de Piso en calle Santa Clotilde,"Ronda - Arabial, Granada",1000,0.0,2,0,Primeros_pisos,4,95,0,1,0,1,0,0,0
"Alquiler de Piso en calle Mano de Hierro, 4","Gran Capitán, Granada",650,1.0,1,0,Primeros_pisos,1,50,1,0,0,1,1,0,0
Alquiler de Casa o chalet independiente en calle Epifanio Lupión,"Joaquina Eguaras, Granada",1200,0.0,3,0,Muchas_plantas,6,1,0,1,0,0,0,0,0
Alquiler de Piso en calle Maestro Vives,"Figares, Granada",830,1.0,1,0,Ultimos_pisos,3,80,0,1,0,0,0,0,0
"Alquiler de Piso en plaza de Santo Domingo, 26","San Matías - Pavaneras, Granada",600,1.0,1,0,Primeros_pisos,1,45,1,0,0,1,1,0,0
Alquiler de Piso en calle Santiago Rusiñol,"Rosaleda - Juventud, Granada",950,1.0,2,1,Ultimos_pisos,2,75,1,1,1,1,1,1,0
Alquiler de Piso en Polígono Cartuja,"Norte, Granada",1000,1.0,1,0,Ultimos_pisos,4,1,0,0,0,0,1,0,0
Alquiler de Piso en calle del Filólogo Julio Casares,"Rosaleda - Juventud, Granada",1200,1.0,2,1,Primeros_pisos,3,1,1,1,1,1,1,1,0
Alquiler de Piso en calle Nicuesa,"Carrera de la Virgen - Paseo del Salón, Granada",850,1.0,1,0,Primeros_pisos,1,61,0,0,1,1,0,0,0
Alquiler de Piso en calle Doctor Fidel Fernández,"Plaza de Toros, Granada",660,1.0,1,0,Primeros_pisos,3,71,0,0,0,1,0,0,0
Alquiler de Piso en plaza de San Lázaro,"Plaza de Toros, Granada",800,1.0,1,0,Primeros_pisos,1,59,1,1,1,1,0,0,0
Alquiler de Piso en calle Cristo de la Yedra,"San Ildefonso, Granada",850,1.0,1,0,Bajo,2,70,1,1,0,1,1,1,1
Alquiler de Piso en calle Cristo de la Yedra,"San Ildefonso, Granada",850,1.0,1,0,Bajo,2,70,1,1,0,1,1,1,1
"Alquiler de Piso en camino de Ronda, 32","Figares, Granada",900,1.0,1,0,Primeros_pisos,4,1,0,0,0,0,1,0,0
"Alquiler de Piso en calle Melchor Almagro, 9","Gran Capitán, Granada",1080,1.0,2,0,Primeros_pisos,4,1,1,1,1,1,1,0,0
Alquiler de Piso en avenida de América,"Zaidín, Granada",750,1.0,1,0,Ultimos_pisos,2,65,0,0,0,0,1,0,0
"Alquiler de Piso en calle San Juan de Dios, 12","Gran Capitán, Granada",540,1.0,1,0,Primeros_pisos,1,55,1,0,0,1,1,0,0
"Alquiler de Piso en Isla de la gomera, 4","Barrio de los Periodistas, Granada",747,1.0,2,0,Ultimos_pisos,3,99,0,0,1,0,0,0,0
"Alquiler de Piso en Isla de la gomera, 4","Barrio de los Periodistas, Granada",695,1.0,2,0,Primeros_pisos,3,98,0,0,0,0,0,0,0
"Alquiler de Piso en Isla de la gomera, 4","Barrio de los Periodistas, Granada",721,1.0,2,0,Primeros_pisos,3,99,0,0,1,0,0,0,0
"Alquiler de Piso en Isla de la gomera, 4","Barrio de los Periodistas, Granada",721,1.0,2,0,Primeros_pisos,3,98,0,0,0,0,0,0,0
"Alquiler de Piso en calle Aconcagua, 50","Bola de Oro, Granada",790,1.0,2,0,Primeros_pisos,2,67,1,0,1,1,1,1,0
Alquiler de Piso en mercurio s/n,Maracena,700,0.0,1,0,Primeros_pisos,3,80,0,0,0,1,0,0,0
Alquiler de Piso en plaza de Europa,"Barrio de los Periodistas, Granada",850,1.0,1,0,Ultimos_pisos,2,76,1,0,1,1,0,0,0
"Alquiler de Piso en calle Bacaque, 2","Carretera de Granada-La Alcazaba, Alhendin",730,1.0,2,0,Ultimos_pisos,3,93,1,0,1,1,1,0,0
Alquiler de Chalet adosado en Chile s/n,"San Francisco - El Chorrillo, Las Gabias",750,0.0,2,1,Muchas_plantas,3,1,1,1,0,1,0,0,0
Alquiler de Ático en calle José Luis Pérez Pujadas,"Parque Lagos, Granada",1250,1.0,2,0,Ultimos_pisos,2,1,0,1,1,0,1,1,1
"Alquiler de Dúplex en cuesta Corvales, 3",La Zubia,950,1.0,2,0,Primeros_pisos,2,85,1,1,1,1,1,0,0
"Alquiler de Chalet pareado en calle Cañada Real, 14 -a","Aljomahima - Ermita, Las Gabias",750,0.0,2,0,Muchas_plantas,3,1,1,1,0,1,1,0,0
Alquiler de Piso en calle Frascuelo,"Zona Parque de San Roque, Churriana de la Vega",880,1.0,2,0,Primeros_pisos,3,1,0,1,1,0,0,1,1
Alquiler de Piso en calle Rey Abu Said,"Figares, Granada",820,1.0,2,0,Primeros_pisos,2,70,0,0,1,0,0,0,1
Alquiler de Piso en calle Gran Vía de Colón,"Gran Vía, Granada",750,1.0,1,0,Primeros_pisos,1,60,1,1,1,1,1,0,0
"Alquiler de Piso en calle Enriqueta Lozano, 15","Carrera de la Virgen - Paseo del Salón, Granada",1200,1.0,2,0,Primeros_pisos,3,1,0,0,0,1,0,0,0
Alquiler de Piso en calle Emperatriz Eugenia,"Gran Capitán, Granada",1100,1.0,2,0,Primeros_pisos,4,1,0,1,1,1,1,0,0
"Alquiler de Piso en avenida de Barcelona, 20","Zaidín, Granada",1000,0.0,2,0,Primeros_pisos,3,98,0,0,0,0,0,0,0
"Alquiler de Piso en calle Pintor Zuloaga, 40","Figares, Granada",950,1.0,1,0,Ultimos_pisos,3,78,0,1,0,1,1,0,0
